file,column_letter,column_name,description,type,globally_unique,source,verbatim,notes
data-dictionary,A,file,core file name,string,n/a,n/a,n/a,* denotes wildcarding (i.e. can be various values here)
data-dictionary,B,column_letter,letter of the column in the respective file,string,n/a,n/a,n/a,
data-dictionary,C,column_name,name of the column in the respective file,string,n/a,n/a,n/a,
data-dictionary,D,description,description of the field,string,n/a,n/a,n/a,
data-dictionary,E,type,type of value in the field,string,n/a,n/a,n/a,
data-dictionary,F,globally_unique,whether the value is globally unique,string,n/a,n/a,n/a,"a globally unique value can repeat (e.g., one user ID can be linked to many collections); the main objective with this field is whether completely unrelated people/groups can have the same value"
data-dictionary,G,source,"whether the field comes from the TDL report, manual use of the Dataverse API, or processing of an API response in the script",string,,,,
data-dictionary,H,verbatim,"whether a value is taken verbatim from the API or is partially reformatted (e.g., conversion of time-date; summing sizes of files within one dataset to get total dataset size)",string,,,,
data-dictionary,I,notes,additional freeform notes,string,,,,
*_all-dataverses,A,name,collection name (i.e. what is displayed),string,No,TDL report,Yes,
*_all-dataverses,B,alias,collection alias (i.e. what is in the URL),string,Yes,TDL report,Yes,
*_all-dataverses,C,id,collection id number,integer,Yes,TDL report,Yes,
*_all-dataverses,D,dataverseType,collection type,string,No,TDL report,Yes,
*_all-dataverses,E,contactIdentifier,collection contact's username,string,Yes,TDL report,Yes,
*_all-dataverses,F,contentSize (MB),size of collection in megabytes,float,No,TDL report,Yes,this has not been closely examined to determine whether it includes unpublished files or previously published files not present in the latest version
*_all-dataverses,G,released,whether the collection is 'released' (public),string,No,TDL report,Yes,
*_all-dataverses,H,creationDate,timestamp of collection creation,time-date,No,TDL report,Yes,
*_all-dataverses,I,institution,"alias for institutional collection (e.g., 'baylor' for Baylor; 'utexas' for UT Austin)",string,No,TDL report,Yes,
*_all-dataverses,J,dataverse_name,collection name (i.e. what is displayed),string,No,Dataverse API,Yes,identical to 'name' (col. A); retained for merging dataframes
*_all-dataverses,K,url,collection URL,string,Yes,Dataverse API,Yes,
*_all-dataverses,L,identifier,collection alias (i.e. what is in the URL),string,Yes,Dataverse API,Yes,identical to 'alias' (col. B); retained for merging dataframes
*_all-dataverses,M,published,timestamp of collection publication,time-date,No,Dataverse API,Yes,
*_all-dataverses,N,parent_dataverse_name,parent collection name (i.e. what is displayed),string,No,Dataverse API,Yes,
*_all-dataverses,O,parent_dataverse_id,parent collection id number,integer,Yes,Dataverse API,Yes,
*_all-dataverses,P,num_dataverses,number of nested dataverses within the listed collection,integer,No,Dataverse API,No,"this can only count ""one level down"" so far; for example, if collection A contains collection B and collection C, and then collection B contains collection D, collection A is only listed as containing 2, not 3, collections"
*_all-dataverses,Q,num_datasets,number of nested datasets within the listed collection,integer,No,Dataverse API,No,"this can only count ""one level down"" so far; for example, if collection A contains an additional collection, which itself contains other datasets, those datasets are not counted"
*_all-dataverses,R,dataset_dois,list of DOIs within the listed collection,list,Yes,Dataverse API,No,"as with column Q regarding ""one level down"" limitations"
*_all-dataverses,S,dataverse_contact,list of contact emails for the collection,list,No,Dataverse API,Yes,"in most instances, there is only one email"
*_all-dataverses,T,owner,collection owner id number,integer,Yes,Dataverse API,Yes,
*_all-dataverses,U,dataverse_creation_date,timestamp of collection creation,time-date,No,Dataverse API,Yes,should be identical to 'creationDate' (col. H); needs cross-validation
*_all-dataverses,V,institution_standardized,standardized name of the institution,string,No,Script manipulation,n/a,this is based on the controlled vocabulary for how to display an institution's name in graphs that is in the env.json file
*_all-dataverses,W,year_month_created,YYYY-MM formatted version of the date of collection creation,pseudo-date,No,Script manipulation,n/a,
*_all-dataverses,X,YearMonth_published,YYYY-MM formatted version of the date of collection publication,pseudo-date,No,Script manipulation,n/a,
