grant_agencies,ror,official_name
American Political Science Association,https://ror.org/02z384071,American Political Science Association
Army Research Office,https://ror.org/05epdh915,United States Army Research Office
Arête Glaciers Initiative,,
Bush School of of Public Service and Administration,,
CIFAR,https://ror.org/01sdtdd95,Canadian Institute for Advanced Research
CPRIT,https://ror.org/0003xa228,Cancer Prevention and Research Institute of Texas
Consortium of Texas Certified Nurse Midwives,,
DARPA,https://ror.org/02caytj08,Defense Advanced Research Projects Agency
DFG Scientific Instrumentation and Information Technology Programme,https://ror.org/018mejw64,Deutsche Forschungsgemeinschaft
Deutsche Forschungsgemeinschchaft,https://ror.org/018mejw64,Deutsche Forschungsgemeinschaft
Eta Gamma Chapter of Sigma Theta Tau International,https://ror.org/01c82hv29,Sigma Theta Tau International
"European Research Commision, Marie Skłodowska-Curie Grant",,
G. Unger Vetlesen,https://ror.org/02j9g7j58,G. Unger Vetlesen Foundation
G. Unger Vetlesen Foundation,https://ror.org/02j9g7j58,G. Unger Vetlesen Foundation
"Geoluminescence Dating Research Laboratory Dept. of Geosciences One Bear Place #97354 Baylor University Waco, TX 76798 USA",https://ror.org/005781934,Baylor University
"Geoluminescence Dating Research Laboratory, Dept. of Geosciences, Baylor University.",https://ror.org/005781934,Baylor University
Good Systems,,
HEI Energy,,
IMLS,IMLS,Institute of Museum and Library Services
LLILAS Benson Digital Scholarship Fellowship,,
Mellon Foundation,,
Moms Advocating for Moms Alliance of Texas,,
NASA,https://ror.org/027ka1x80,National Aeronautics and Space Administration
NASA Applied Sciences Water Resources program,https://ror.org/027ka1x80,National Aeronautics and Space Administration
NASA Earth Surface and Interior,https://ror.org/027ka1x80,National Aeronautics and Space Administration
NASA Ice Bridge,https://ror.org/027ka1x80,National Aeronautics and Space Administration
NASA’s Astromaterials Research and Exploration Science (ARES) Division,https://ror.org/027ka1x80,National Aeronautics and Space Administration
NHLBI,https://ror.org/012pb6c26,National Heart Lung and Blood Institute
NIAAA / NIH,https://ror.org/02jzrsm59,National Institute on Alcohol Abuse and Alcoholism
NICHD,https://ror.org/04byxyr05,Eunice Kennedy Shriver National Institute of Child Health and Human Development
NIH,https://ror.org/05h1kgg64,National Institute of Health
NIH/NCATS Colorado CTSA Grant,,
NIMH,https://ror.org/04xeg9z08,National Institute of Mental Health
NOAA,https://ror.org/02z5nhe81,National Oceanic and Atmospheric Administration
NSF,https://ror.org/021nxhr62,U.S. National Science Foundation
National Aeronautics and Space Administration,https://ror.org/027ka1x80,National Aeronautics and Space Administration
National Endowment for the Humanities,https://ror.org/02vdm1p28,National Endowment for the Humanities
National Endowment of the Humanities,https://ror.org/02vdm1p28,National Endowment for the Humanities
National Institute of Food and Agriculture/USDA,https://ror.org/05qx3fv49,National Institute of Food and Agriculture
National Institute of Justice,https://ror.org/00v8p7w89,National Institute of Justice
"National Institute of Justice, Office of Justice Programs, the United States Department of Justice",https://ror.org/01n8d2d52,Office of Justice Programs
National Institute on Drug Abuse,https://ror.org/00fq5cm18,National Institute on Drug Abuse
National Institutes of Health,https://ror.org/05h1kgg64,National Institute of Health
National Science Foundation,https://ror.org/021nxhr62,U.S. National Science Foundation
National Science Foundation-OCE,https://ror.org/05wqqhv83,Division of Ocean Sciences
National Science Foundation:,https://ror.org/021nxhr62,U.S. National Science Foundation
OCLC/ALISE,,
"Partially supported by the NSF # 2224449 grant, the NASA # 80NSSC22K1361 grant, and the Texas State University Research Enhancement Program grant",,
Pelagios Commons,,
Robert Bosch LLC,,
SCEC,https://ror.org/03vhnve41,Southern California Earthquake Center
State of Texas Advanced Resource Recovery (STARR),,
Texas A&M University,https://ror.org/01f5ytq51,Texas A&M University
Texas A&M University CEHD Catapult Grant,,
Texas Department of Transportation,https://ror.org/02ky21x08,Texas Department of Transportation
Texas General Land OFfice,https://ror.org/04my4q272,Texas General Land Office
Texas Parks and Wildlife,https://ror.org/02b5k3s39,Texas Parks and Wildlife Department
Travis County,,
