,affiliation,ror,flag-generic
0,-1528,,
1,1840-1914,,
2,3M Research Center,https://ror.org/00mgss748,
3,"Aiberry, Inc.",,
4,Alan Morris Consulting as consultant to The University of Texas Bureau of Economic Geology,,
5,ALomax Scientific,,
6,"ALomax Scientific, Mouans-Sartoux, France",,
7,"ALomax, Scientific, Mouans-Sartoux, France",,
8,Amazon,https://ror.org/04mv4n011,
9,"AMEDD Student Detachment, 187th Medical Battalion, Medical Professional Training Brigade, Joint Base San Antonio, TX; & Steve Hicks School of Social Work, University of Texas at Austin",,
10,American Councils for International Education,https://ror.org/042kvvy70,
11,"Applied Physics Laboratory, University of Washington",https://ror.org/03d17d270,
12,"Applied Research Labs, the University of Texas at Austin",https://ror.org/053wph561,
13,approximately 1492-1552,,
14,approximately 1495-1558,,
15,Aquanuity,,
16,Auburn University,https://ror.org/02v80fc35,
17,Aurora de Chile,,
18,Barton Springs Conservation District,,
19,Barton Springs Edwards Aquifer Conservation District,,
20,Bosch,https://ror.org/02venad53,
21,"Bosch, MIT CSAIL",,
22,"Bosch, The University of Texas at Austin",,
23,Boston University,https://ror.org/05qwgg493,
24,"BPX Energy Inc., Denver, CO.",,
25,BSEACD,,
26,Bureau of Economic Geology,https://ror.org/034bxn811,
27,"Bureau of Economic Geology, University of Texas at Austin",https://ror.org/034bxn811,
28,"Bureau of Economic Geology, University of Texas at Austin, Texas, U.S.A.",https://ror.org/034bxn811,
29,Bureau of Economic Geology; Jackson School of Geosciences; University of Texas at Austin,https://ror.org/034bxn811,
30,Carnegie Mellon University,https://ror.org/05x2bcf33,
31,Catholic Church,,
32,"Caves and Karst, LLC",,
33,Center for Infrastructure Modeling and Management,,
34,Center for Infrstructure Modeing and Management,,
35,"Center for Remote Sensing and Integrated Systems, University of Kansas",https://ror.org/04t2m2598,
36,"Center for Remote Sensing and Integrated Systems, University of Kansas, USA",https://ror.org/04t2m2598,
37,"Center for Remote Sensing and Intergrated Systems, University of Kansas, USA",https://ror.org/04t2m2598,
38,"Center for Space Research, the University of Texas at Austin",https://ror.org/00hj54h04,
39,Central Texas Melittological Institute,,
40,"Centro de Investigaciones y Estudios Superiores en AntropologÃ­a Social (CIESAS), Mexico City",,
41,Chief Justice of Tetliztaca,,
42,Church of Mexico,,
43,"CISR, Bureau of Economic Geology, The University of Texas at Austin",https://ror.org/034bxn811,
44,"Coastal Coordination Division, Texas General Land Office",https://ror.org/04my4q272,
45,Colorado State University,https://ror.org/03k1gpj17,
46,Columbia University,https://ror.org/00hj8s172,
47,ComisiÃ³n de Higiene PÃºblica (Venezuela),,
